university,level,source_images,saved_board
Harper Adams University,Bachelors,harper-adams-bachelor-graduation-set-1.jpg,templates/Harper Adams University/Bachelors/board.png
Heriot Watt University,Masters,heriot-watt-university-masters-graduation-set-1.jpg,templates/Heriot Watt University/Masters/board.png
Heriot Watt University,Bachelors,heriot-watt-university-bachelors-graduation-set-1.jpg,templates/Heriot Watt University/Bachelors/board.png
Hertfordshire University,Bachelors,university-of-hertfordshire-bachelors-graduation-set-1.jpg,templates/Hertfordshire University/Bachelors/board.png
Highlands & Islands University,Bachelors,university-of-the-highlands-and-islands-bachelors-graduation-set-1.jpg,templates/Highlands & Islands University/Bachelors/board.png
Huddersfield University,Bachelors,huddersfield-university-bachelors-graduation-set-1.jpg,templates/Huddersfield University/Bachelors/board.png
Hull University,Masters,university-of-hull-integrated-masters-graduation-set-1.jpg,templates/Hull University/Masters/board.png
Hull University,Bachelors,university-of-hull-bachelors-graduation-set-1.jpg,templates/Hull University/Bachelors/board.png
Imperial College London,Masters,imperial-college-london-masters-graduation-set-1.jpg,templates/Imperial College London/Masters/board.png
Imperial College London,Bachelors,imperial-college-london-bachelors-graduation-set-1-10.jpg;imperial-college-london-bachelors-graduation-set-1-1.png,templates/Imperial College London/Bachelors/board.png
Keele University,Masters,keele-university-integrated-masters-graduation-set-1.jpg,templates/Keele University/Masters/board.png
Keele University,Bachelors,keele-university-bachelors-graduation-set-1-14.jpg;keele-university-bachelors-graduation-set-1-1.png,templates/Keele University/Bachelors/board.png
Lancaster University,Masters,lancaster-university-masters-graduation-set-1.jpg,templates/Lancaster University/Masters/board.png
Lancaster University,Bachelors,lancaster-university-bachelors-graduation-set-1.jpg,templates/Lancaster University/Bachelors/board.png
Leeds Beckett University,Masters,leeds-beckett-university-masters-graduation-set-1.jpg,templates/Leeds Beckett University/Masters/board.png
Leeds Beckett University,Bachelors,leeds-beckett-university-bachelors-graduation-set-1.jpg,templates/Leeds Beckett University/Bachelors/board.png
Leicester University,Bachelors,leicester-university-bachelors-graduation-set-1.jpg,templates/Leicester University/Bachelors/board.png
Lincoln University,Masters,university-of-lincoln-masters-graduation-set-1.png,templates/Lincoln University/Masters/board.png
